Date,Open,High,Low,Close,Adj Close,Volume
24-Mar-15,18110.87,18149.24,18010.44,18011.14,18011.14,871900
25-Mar-15,18012.61,18041.97,17718.54,17718.54,17718.54,1065600
26-Mar-15,17716.27,17759.51,17579.27,17678.23,17678.23,1177400
27-Mar-15,17673.63,17729.14,17630.49,17712.66,17712.66,1032200
30-Mar-15,17727.48,18008.64,17727.48,17976.31,17976.31,1040400
31-Mar-15,17965.37,17965.37,17773.02,17776.12,17776.12,1194700
1-Apr-15,17778.52,17778.52,17585.01,17698.18,17698.18,1033600
2-Apr-15,17699.52,17815.03,17673.49,17763.24,17763.24,873700
6-Apr-15,17755.5,17941.79,17646.8,17880.85,17880.85,1008500
7-Apr-15,17884.32,17983.12,17871.21,17875.42,17875.42,721500
8-Apr-15,17877.62,17976.2,17822.23,17902.51,17902.51,768200
9-Apr-15,17902.51,17984.22,17823.1,17958.73,17958.73,867400
10-Apr-15,17956.73,18066.76,17945.55,18057.65,18057.65,1164100
13-Apr-15,18052.32,18107.57,17974.81,17977.04,17977.04,1200900
14-Apr-15,17979.11,18075.6,17905.48,18036.7,18036.7,828300
15-Apr-15,18045.71,18160.52,18045.71,18112.61,18112.61,1136100
16-Apr-15,18106.27,18169.26,18063.86,18105.77,18105.77,895200
17-Apr-15,18102.56,18102.56,17748.53,17826.3,17826.3,1388600
20-Apr-15,17841.18,18092.22,17841.18,18034.93,18034.93,1031600
21-Apr-15,18034.23,18109.7,17929.63,17949.59,17949.59,951800
22-Apr-15,17950.82,18056.02,17887.76,18038.27,18038.27,912600
23-Apr-15,18031.9,18133.03,17966.77,18058.69,18058.69,1002400
24-Apr-15,18056.42,18108.87,18009.08,18080.14,18080.14,1191300
27-Apr-15,18097.89,18175.56,18024.66,18037.97,18037.97,1211100
28-Apr-15,18035.9,18119.65,17917.36,18110.14,18110.14,1249300
29-Apr-15,18093.69,18096.46,17953.69,18035.53,18035.53,1020800
30-Apr-15,18033.33,18033.33,17774.89,17840.52,17840.52,1291800
1-May-15,17859.27,18028.89,17859.27,18024.06,18024.06,917000
4-May-15,18026.02,18133.76,18026.02,18070.4,18070.4,860100
5-May-15,18062.53,18086.01,17905.71,17928.2,17928.2,953400
